primary_label,common_name,scientific_name,class_name,n_positive,perch_mapped,auc_base,auc_final
blheag1,Black Hawk-Eagle,Spizaetus tyrannus,Aves,0,True,,
blttit1,Black-tailed Tityra,Tityra cayana,Aves,0,True,,
bncfly,Brown-crested Flycatcher,Myiarchus tyrannulus,Aves,0,True,,
bobfly1,Boat-billed Flycatcher,Megarynchus pitangua,Aves,0,True,,
brcmar1,Brown-chested Martin,Progne tapera,Aves,0,True,,
brnowl,American Barn Owl,Tyto furcata,Aves,0,True,,
bucmot4,Amazonian Motmot,Momotus momota,Aves,0,True,,
bucpar,Blue-crowned Parakeet,Thectocercus acuticaudatus,Aves,0,True,,
bufpar,Turquoise-fronted Amazon,Amazona aestiva,Aves,14,True,0.9987649238369699,0.99876492383697
bunibi1,Buff-necked Ibis,Theristicus caudatus,Aves,2,True,0.6494334277620397,0.6494334277620397
burowl,Burrowing Owl,Athene cunicularia,Aves,0,True,,
camfli1,Campo Flicker,Colaptes campestris,Aves,0,True,,
chacha1,Chaco Chachalaca,Ortalis canicollis,Aves,63,True,0.940125507567368,0.8820474960009843
chbmoc1,Chalk-browed Mockingbird,Mimus saturninus,Aves,0,True,,
chobla1,Chopi Blackbird,Gnorimopsar chopi,Aves,0,True,,
chvcon1,Chestnut-vented Conebill,Conirostrum speciosum,Aves,35,True,0.9676077265973254,0.9257057949479941
cibspi1,Cinereous-breasted Spinetail,Synallaxis hypospodia,Aves,0,True,,
coffal1,Collared Forest-Falcon,Micrastur semitorquatus,Aves,0,True,,
compau,Pauraque,Nyctidromus albicollis,Aves,37,True,0.8888307085028396,0.9198453296813953
compot1,Common Potoo,Nyctibius griseus,Aves,3,True,0.948936170212766,0.948936170212766
crbthr1,Creamy-bellied Thrush,Turdus amaurochalinus,Aves,0,True,,
crebec1,Crested Becard,Pachyramphus validus,Aves,0,True,,
dwatin1,Dwarf Tinamou,Taoniscus nanus,Aves,0,True,,
epaori4,Variable Oriole,Icterus pyrrhopterus,Aves,0,True,,
eulfly1,Euler's Flycatcher,Lathrotriccus euleri,Aves,0,True,,
fabwre1,Fawn-breasted Wren,Cantorchilus guarayanus,Aves,0,True,,
fepowl,Ferruginous Pygmy Owl,Glaucidium brasilianum,Aves,0,True,,
ficman1,Fiery-capped Manakin,Machaeropterus pyrocephalus,Aves,0,True,,
flawar1,Flavescent Warbler,Myiothlypis flaveola,Aves,0,True,,
fotfly,Fork-tailed Flycatcher,Tyrannus savana,Aves,0,True,,
fusfly1,Fuscous Flycatcher,Cnemotriccus fuscatus,Aves,3,True,0.9877068557919622,0.9877068557919622
gilhum1,Gilded Hummingbird,Hylocharis chrysura,Aves,0,True,,
giwrai1,Giant Wood Rail,Aramides ypecaha,Aves,0,True,,
glteme1,Glittering-throated Emerald,Chionomesa fimbriata,Aves,0,True,,
grasal3,Bluish-grey Saltator,Saltator coerulescens,Aves,0,True,,
greani1,Greater Ani,Crotophaga major,Aves,0,True,,
greant1,Great Antshrike,Taraba major,Aves,0,True,,
greela,Greenish Elaenia,Myiopagis viridicata,Aves,0,True,,
grekis,Great Kiskadee,Pitangus sulphuratus,Aves,0,True,,
grepot1,Great Potoo,Nyctibius grandis,Aves,0,True,,
gretho2,Greater Thornbird,Phacellodomus ruber,Aves,0,True,,
greyel,Greater Yellowlegs,Tringa melanoleuca,Aves,0,True,,
grfdov1,Grey-fronted Dove,Leptotila rufaxilla,Aves,0,True,,
grhtan1,Grey-headed Tanager,Eucometis penicillata,Aves,0,True,,
gycwor1,Grey-cowled Wood Rail,Aramides cajaneus,Aves,0,True,,
horscr1,Horned Screamer,Anhima cornuta,Aves,0,True,,
houspa,House Sparrow,Passer domesticus,Aves,0,True,,
hyamac1,Hyacinth Macaw,Anodorhynchus hyacinthinus,Aves,10,True,0.9915472779369627,0.9896848137535816
larela1,Large Elaenia,Elaenia spectabilis,Aves,0,True,,
lesela1,Lesser Elaenia,Elaenia chiriquensis,Aves,0,True,,
lesgrf1,Lesser Grass-Finch,Emberizoides ypiranganus,Aves,0,True,,
limpki,Limpkin,Aramus guarauna,Aves,3,True,0.7281323877068557,0.7281323877068557
linwoo1,Lineated Woodpecker,Dryocopus lineatus,Aves,0,True,,
litcuc2,Little Cuckoo,Coccycua minuta,Aves,0,True,,
litnig1,Little Nightjar,Setopagis parvula,Aves,37,True,0.7936923510694002,0.8277681556370081
mabpar,Maroon-bellied Parakeet,Pyrrhura frontalis,Aves,0,True,,
magant1,Mato Grosso Antbird,Cercomacra melanaria,Aves,5,True,0.647226173541963,0.647226173541963
magtan2,Magpie Tanager,Cissopis leverianus,Aves,0,True,,
masgna1,Masked Gnatcatcher,Polioptila dumicola,Aves,0,True,,
nacnig1,Nacunda Nighthawk,Chordeiles nacunda,Aves,11,True,0.6297117516629712,0.6857962697274032
ocecra1,Ocellated Crake,Rufirallus schomburgkii,Aves,0,True,,
oliwoo1,Olivaceous Woodcreeper,Sittasomus griseicapillus,Aves,0,True,,
orbtro3,Orange-backed Troupial,Icterus croconotus,Aves,0,True,,
orwpar,Orange-winged Amazon,Amazona amazonica,Aves,13,True,0.8178195904814609,0.6023242944106253
osprey,Osprey,Pandion haliaetus,Aves,0,True,,
pabspi1,Pale-breasted Spinetail,Synallaxis albescens,Aves,0,True,,
palhor3,Pale-legged Hornero,Furnarius leucopus,Aves,0,True,,
paltan1,Palm Tanager,Thraupis palmarum,Aves,0,True,,
phecuc1,Pheasant Cuckoo,Dromococcyx phasianellus,Aves,0,True,,
picpig2,Picazuro Pigeon,Patagioenas picazuro,Aves,0,True,,
pirfly1,Piratic Flycatcher,Legatus leucophaius,Aves,0,True,,
plasla1,Planalto Slaty Antshrike,Thamnophilus pelzelni,Aves,0,True,,
platyr1,Plain Inezia,Inezia inornata,Aves,0,True,,
plcjay1,Plush-crested Jay,Cyanocorax chrysops,Aves,0,True,,
pluibi1,Plumbeous Ibis,Theristicus caerulescens,Aves,0,True,,
purjay1,Purplish Jay,Cyanocorax cyanomelas,Aves,5,True,0.5812233285917496,0.5812233285917496
pvttyr1,Pearly-vented Tody-Tyrant,Hemitriccus margaritaceiventer,Aves,0,True,,
ragmac1,Red-and-green Macaw,Ara chloropterus,Aves,0,True,,
rebscy1,Red-billed Scythebill,Campylorhamphus trochilirostris,Aves,0,True,,
recfin1,Red-crested Finch,Coryphospingus cucullatus,Aves,0,True,,
redjun,Red Junglefowl,Gallus gallus,Aves,12,True,0.3515325670498084,0.4528256704980843
relser1,Red-legged Seriema,Cariama cristata,Aves,0,True,,
rinkin1,Ringed Kingfisher,Megaceryle torquata,Aves,0,True,,
rivwar1,Riverbank Warbler,Myiothlypis rivularis,Aves,0,True,,
roahaw,Roadside Hawk,Rupornis magnirostris,Aves,0,True,,
rubthr1,Rufous-bellied Thrush,Turdus rufiventris,Aves,0,True,,
rufcac2,Rufous Cacholote,Pseudoseisura unirufa,Aves,0,True,,
rufcas2,Rufous Casiornis,Casiornis rufus,Aves,0,True,,
rufgna3,Rufous Gnateater,Conopophaga lineata,Aves,0,True,,
rufhor2,Rufous Hornero,Furnarius rufus,Aves,4,True,0.7677556818181818,0.7677556818181818
rufnig1,Rufous Nightjar,Antrostomus rufus,Aves,0,True,,
